,text,start,duration,end
0,The following content is provided under a Creative,0.79,2.4,3.19
1,Commons license.,3.19,1.54,4.73
2,Your support will help MIT OpenCourseWare,4.73,2.3,7.03
3,continue to offer high quality educational resources for free.,7.03,4.36,11.39
4,To make a donation or view additional materials,11.39,2.6,13.99
5,"from hundreds of MIT courses, visit MIT OpenCourseWare",13.99,3.89,17.88
6,at ocw.mit.edu.,17.88,0.96,18.84
7,PROFESSOR: All right everyone.,30.42,1.25,31.67
8,Let's get started.,31.67,2.28,33.95
9,"So today's lecture and Wednesday's lecture,",33.95,3.99,37.940000000000005
10,we're going to talk about this thing called,37.94,2.01,39.949999999999996
11,object oriented programming.,39.95,1.48,41.43
12,"And if you haven't programmed before,",41.43,1.79,43.22
13,I think this is a fairly tough concept to grasp.,43.22,3.33,46.55
14,"But hopefully with many, many examples",46.55,3.18,49.73
15,"and just by looking at the code available from lectures,",49.73,5.79,55.519999999999996
16,you'll hopefully get the hang of it quickly.,55.52,2.69,58.21
17,So let's talk a little bit about objects.,58.21,4.56,62.77
18,And we've seen objects in Python so far.,62.77,3.18,65.95
19,Objects are basically data in Python.,65.95,3.21,69.16
20,So every object that we've seen has a certain type.,69.16,3.11,72.27
21,"OK, that we know.",72.27,1.915,74.185
22,"Behind the scenes, though, every object",74.185,1.965,76.15
23,has these two additional things.,76.15,2.38,78.53
24,One is some data representation.,78.53,1.75,80.28
25,So how Python represents the object just behind the scenes,80.28,5.77,86.05
26,and what are different ways that you,86.05,1.53,87.58
27,can interact with the object.,87.58,3.42,91.0
28,"So for example, every one of these is a different object.",91.0,4.37,95.37
29,"For example, this is the number 1,234.",95.37,3.6,98.97
30,It's a specific object that is of type integer.,98.97,3.15,102.12
31,The number 5 is a different object that's of type integer,102.12,3.82,105.94
32,and so on.,105.94,0.98,106.92
33,We've seen floats.,106.92,0.96,107.88
34,We've seen strings.,107.88,1.11,108.99
35,We've seen lists.,108.99,1.74,110.72999999999999
36,Lists and dictionaries are more complicated objects.,110.73,3.85,114.58
37,Object types.,114.58,0.7,115.28
38,Sorry.,115.28,1.31,116.59
39,"But every object has a type, some sort of way",116.59,2.67,119.26
40,that it's represented in Python and some ways,119.26,3.909,123.16900000000001
41,that we can interact with them.,123.169,1.291,124.46
42,OK.,127.02,0.5,127.52
43,So the idea behind object oriented programming,127.52,2.67,130.19
44,"is, first of all, everything in Python is an object.",130.19,2.91,133.1
45,We've said that before and in this lecture,133.1,2.56,135.66
46,I think we'll really get at what that means.,135.66,2.03,137.69
47,"So we've seen strings, integers, dictionaries, lists.",137.69,3.63,141.32
48,Those are all objects.,141.32,1.38,142.7
49,"When we did functions, we saw that we",142.7,1.8,144.5
50,could pass as a parameter another function.,144.5,3.12,147.62
51,So functions were also objects in Python.,147.62,2.12,149.74
52,So literally everything in Python is an object.,149.74,3.779,153.519
53,So what are the kinds of things we can do with objects?,153.519,2.291,155.81
54,"Well, once you have a type, you can create a new object",155.81,3.42,159.23
55,that is of some type.,159.23,1.314,160.54399999999998
56,And you can create as many objects,160.544,1.416,161.96
57,"as you'd like of that particular type, right?",161.96,2.91,164.87
58,An integer 5 and integer 7.,164.87,2.07,166.94
59,Those all work in a program.,166.94,3.21,170.15
60,"Once you've created these new objects,",170.15,2.49,172.64000000000001
61,you can manipulate them.,172.64,1.65,174.29
62,"So for a list, for example, you can append an item",174.29,2.28,176.57
63,"to the end of the list, you can delete an item,",176.57,2.85,179.42
64,"remove it, concatenate two lists together.",179.42,4.56,183.98
65,So that's ways that you can interact with objects.,183.98,3.041,187.021
66,And the last thing you can do is you can destroy them.,187.021,2.249,189.26999999999998
67,"So and with lists, we saw explicitly",189.27,1.73,191.0
68,"that you can delete elements from a list,",191.0,2.976,193.976
69,or you can just forget about them,193.976,1.374,195.35
70,"by reassigning a variable to another value,",195.35,4.03,199.38
71,"and then at some point, Python will",199.38,2.54,201.92
72,collect all of these dead objects and reclaim the memory.,201.92,2.77,204.69
73,So let's continue exploring what objects are.,207.81,3.98,211.79
74,So let's say I have these two separate objects.,211.79,2.53,214.32
75,One is a blue car.,214.32,1.13,215.45
76,One is a pink car.,215.45,1.5,216.95
77,So objects are really data abstractions.,216.95,2.79,219.73999999999998
78,So these two cars can be created by the same blueprint.,219.74,3.31,223.05
79,OK?,223.05,0.62,223.67000000000002
80,This is a blueprint for a car and if an object is a data,223.67,3.73,227.39999999999998
81,"abstraction, there's two things that this abstraction",227.4,2.24,229.64000000000001
82,is going to capture.,229.64,1.3,230.94
83,The first is some sort of representation.,230.94,3.26,234.2
84,"What is going to represent the car, what data represents a car",234.2,3.11,237.31
85,object?,237.31,1.23,238.54
86,And the second is what are ways that we,238.54,1.86,240.4
87,can interact with the object?,240.4,2.68,243.08
88,"So if we think about a car blueprint,",243.08,2.93,246.01000000000002
89,some general representation for a car,246.01,2.37,248.38
90,"could be the number of wheels it has, the number of doors",248.38,2.52,250.9
91,"it has, maybe its length, maybe its height,",250.9,2.55,253.45000000000002
92,so this is all part of what data represents the car.,253.45,6.129,259.579
93,OK?,259.579,1.57,261.149
94,The interface for the car is what,261.149,1.681,262.83
95,are ways that you can interact with it.,262.83,1.75,264.58
96,"So for example, you could paint a car, right?",264.58,3.535,268.115
97,So you could change its color.,268.115,2.605,270.72
98,You could have the car make a noise,270.72,3.29,274.01000000000005
99,and different cars might make different noises.,274.01,2.33,276.34
100,"Or you can drive the car, right?",276.34,1.72,278.06
101,So these are all ways that you can interact with the car.,278.06,2.55,280.61
102,Whereas the representation are what makes up the car.,280.61,2.52,283.13
103,What data abstractions make up the car.,283.13,5.46,288.59
104,Let's bring it a little closer to home by looking at a list.,288.59,5.04,293.63
105,"So we have this data type of list, right?",293.63,3.36,296.99
106,We've worked with lists before.,296.99,3.78,300.77
107,"The list with elements 1, 2, 3, and 4 is a very specific object",300.77,4.26,305.03
108,that is of type list.,305.03,2.7,307.72999999999996
109,"Again, we think about it in terms of two things.",307.73,2.2,309.93
110,One is what is the data representation of the list?,309.93,3.57,313.5
111,So behind the scenes how does Python see lists?,313.5,2.837,316.337
112,"And the second is, how do you interact with lists?",316.337,2.083,318.42
113,So what are ways that you can manipulate a list,318.42,1.958,320.37800000000004
114,object once it's created?,320.378,2.882,323.26
115,"So behind the scenes you have a list, L,",323.26,3.1,326.36
116,which is going to be made up of essentially two things.,326.36,2.67,329.03000000000003
117,One is going to be the value at specific index.,329.03,5.25,334.28
118,OK?,334.28,0.69,334.96999999999997
